section_number,section_title,finding_id,location,description,photo
1,GENERAL DOCUMENTATION,1.1,WBS: 2100,General photo for documentation purposes. Overall entry section drive side.,1-11.JPG
1,GENERAL DOCUMENTATION,1.1,WBS: 2100,General photo for documentation purposes. Entry looper drive side.,1-12.JPG
1,GENERAL DOCUMENTATION,1.1,WBS: 2200,General photo for documentation purposes. Overall cleaning and pickeling section.,1-13.JPG
1,GENERAL DOCUMENTATION,1.1,WBS: 2400,General photo for documentation purposes. Overall future Nickel plating section.,1-14.JPG
1,GENERAL DOCUMENTATION,1.1,WBS: 2500,"General photo for documentation purposes. Existing chemical treat section, drive side.",1-15.JPG
1,GENERAL DOCUMENTATION,1.1,WBS: 2600,"General photo for documentation purposes. Exit end, operator side.",1-16.JPG
1,GENERAL DOCUMENTATION,1.2,WBS: 2000,Existing safety gates are either non-self closing (pictured) or do not exist. This is typical throughout all sections and elevated platforms of ETL5.,1-2.JPG
1,GENERAL DOCUMENTATION,1.3,WBS: 2100,"At the entry looper, and typical throughout ETL5, guards protecting against moving equipment have been removed and often are stored in an adjacent location.",1-3.JPG
1,GENERAL DOCUMENTATION,1.4,WBS: 2100,Brick deterioration and heaving is present on mill floor at (2) locations on the operator side. This deterioration presents obstacles for vehicular traffic and tripping hazards for pedestrian traffic.,1-41.JPG
1,GENERAL DOCUMENTATION,1.4,WBS: 2200,Concrete located in basement supporting adjacent elevated grating shows signs of deterioration.,1-42.JPG
1,GENERAL DOCUMENTATION,1.5,WBS: 2000,Debris and material are present on elevated service platforms throughout ETL5.,1-5.JPG
2,COOLING SYSTEM,2.1,WBS: 2500,Existing Inductotherm water cooling system. Overall view of system. Located near the drive side of inspection gauges. Further investigation required to determine functionality. ,2-11.JPG
2,COOLING SYSTEM,2.1,WBS: 2500,Existing Inductotherm water cooling system. Overall view of system. Located near the drive side of inspection gauges. Further investigation required to determine functionality. ,2-12.JPG
2,COOLING SYSTEM,2.1,WBS: 2500,Existing water cooling system. Service water inlet and outlet lines. Located near the drive side of inspection gauges. Further investigation required to determine functionality.,2-13.JPG
2,COOLING SYSTEM,2.1,WBS: 2500,Existing Inductotherm water cooling system Cubicle. Located near the drive side of inspection gauges. Further investigation required to determine functionality.,2-14.JPG
3,FUME EXHAUST,3.1,WBS: 2200/2300,"Overall view of the fume exhaust hood and ductwork at Cleaning/Pickle, standing on drive side of the line looking South. Potential modifications may include raising mechanical equipment, structural steel, fume hood, and exhaust duct.",3-11.JPG
3,FUME EXHAUST,3.1,WBS: 2200/2300,"Overall view of the fume exhaust hood and ductwork at Cleaning/Pickle, standing on operator side of the line looking North. Potential modifications may include raising mechanical equipment, structural steel, fume hood, and exhaust duct.",3-12.JPG
3,FUME EXHAUST,3.1,WBS: 2200/2300,The fume hood frame is dropped into  seated connections on weldement on the West end of Cleaning/Pickle. Future modifications may include raising the elevation of seated connections. ,3-13.JPG
3,FUME EXHAUST,3.1,WBS: 2200/2300,The fume hood frame is welded to weldement on West end of Cleaning/Pickle. Future modifications may include raising the elevation of seated connections. ,3-14.JPG
3,FUME EXHAUST,3.1,WBS: 2200/2300,"Overall of the fume exhaust ductwork at Cleaning/Pickle. Photo taken from mill floor on the drive side of the line, looking East. Duct has already been raised to a higher elevation in the past, as evidenced by numerous vertical extensions. Future modifications may include further raising the elevation.",3-15.JPG
3,FUME EXHAUST,3.2,WBS: 2200/2300,"Vertical fume exhaust duct serving Cleaning/Pickle, located on the drive side of the line. Duct previously achieved a raise in elevation via a vertical extension, as shown. Future modifications may include further raising this elevation.",3-21.JPG
3,FUME EXHAUST,3.2,WBS: 2200/2300,"Vertical fume exhaust duct serving Cleaning/Pickle, located on the operator side of the line. Duct previously achieved a raise in elevation via a vertical extension, as shown. Future modifications may include further raising this elevation.",3-22.JPG
3,FUME EXHAUST,3.3,WBS: 2200/2300,"Overall of the fume exhaust ductwork at Cleaning/Pickle. Photo taken from mill floor on the drive side of the line, looking South. Duct has already been raised to a higher elevation in the past, as evidenced by numerous vertical extensions. Future modifications may include further raising the elevation.",3-31.JPG
3,FUME EXHAUST,3.3,WBS: 2200/2300,Exhaust duct exits Cleaning/Pickle up through the ceiling of the building on the drive side of the line.,3-32.JPG
3,FUME EXHAUST,3.4,WBS: 2200/2300,Chemical treat section fume exhaust outbuilding located south of ETL5. Tracing exhaust ducts led to baghouse pictured with multiple blowers/suckers located within. ,3-41.JPG
3,FUME EXHAUST,3.5,WBS: 2200/2300,Vertical exhaust duct support located towards the drive side of the line at Cleaning/Pickle. Photo taken looking North. Future modifications may include further raising the elevation of supports.,3-51.JPG
3,FUME EXHAUST,3.5,WBS: 2200/2300,Vertical exhaust duct support located towards the operator side of the line at Cleaning/Pickle. Photo taken looking South. Future modifications may include further raising the elevation of supports.,3-52.JPG
3,FUME EXHAUST,3.5,WBS: 2200/2300,Fume exhaust duct blower located on the operator side of Cleaning/Pickle. Blower is in visiably poor condition. Requires further investigation to determine operational status.,3-53.JPG
3,FUME EXHAUST,3.6,WBS: 2500,Fume exhaust system located above existing chemical treat section. Requires further investigation to determine operational status.,3-61.JPG
4,WATER SYSTEM,4.1,WBS: 2600,Motors for demineralized water system located in the East end of the basement. Further investigation required in order to determine operational status. ,4-11.JPG
4,WATER SYSTEM,4.1,WBS: 2600,Pipes of demineralized water system located in the East end of the basement. Further investigation required in order to determine operational status. ,4-12.JPG
4,WATER SYSTEM,4.1,WBS: 2600,Motors for demineralized water system located in the East end of the basement. Further investigation required in order to determine operational status. ,4-13.JPG
4,WATER SYSTEM,4.1,WBS: 2600,Pipes for demineralized water system located in the East end of the basement. Further investigation required in order to determine operational status. ,4-14.JPG
4,WATER SYSTEM,4.1,WBS: 2600,Tanks for demineralized water system located in the East end of the basement. Further investigation required in order to determine operational status. ,4-15.JPG
4,WATER SYSTEM,4.2,WBS: 2600,Pipe hangers and supports along extents of the basement ceiling in relatively good condition. Absestos identified on numerous pipes and insulation. Further investigation required.,4-21.JPG
4,WATER SYSTEM,4.2,WBS: 2600,Pipe hangers and supports along extents of the basement ceiling in relatively good condition. Absestos identified on numerous pipes and insulation. Further investigation required.,4-22.JPG
4,WATER SYSTEM,4.3,WBS: 2000,Water leaks present all throughout basement. Sources currently unidentified. ,4-31.JPG
4,WATER SYSTEM,4.3,WBS: 2000,Varied levels of corrosion present on pipes throughout entire basement.,4-32.JPG
5,POWERTRAIN,5.1,WBS: 2100,Existing couplers and powertrain equipment present at the entry section of ETL5. Minor deterioration is present on guarding and the alignment condition is unknown.,5-11.JPG
5,POWERTRAIN,5.1,WBS: 2100,Existing shafts and bearing blocks present within the entry looper section of ETL5. Minor-to-moderate surface corrosion is typical on bearing blocks throughout ETL5.,5-12.JPG
5,POWERTRAIN,5.1,WBS: 2400,"Existing couplers and powertrain equipment present at the existing tinning section of ETL5. Minor deterioration is present on guarding and couplers, and the alignment condition is unknown.",5-13.JPG
5,POWERTRAIN,5.2,WBS: 2100,"Existing hydraulic cylinder, pump, and lines present at the entry section. Minor deterioration is typical on hydraulic components throughout the line. It is unknown whether existing hydraulic systems still function as intended throughout ETL5.",5-21.JPG
5,POWERTRAIN,5.2,WBS: 2100,Existing hydraulic cylinders present at the entry looper. Minor deterioration is typical on hydraulic components throughout the line. It is unknown whether existing hydraulic systems still function as intended throughout ETL5.,5-22.JPG
5,POWERTRAIN,5.2,WBS: 2300,"Existing hydraulic cylinder, pump, and lines present at the cleaning section. Minor deterioration is typical on hydraulic components throughout the line. It is unknown whether existing hydraulic systems still function as intended throughout ETL5.",5-23.JPG
5,POWERTRAIN,5.3,WBS: 2400,"Existing motor and gearbox present along the existing tinning section of ETL5. Minor-to-moderate surface corrosion is typical on gearboxes, drives, and other rotating equipment throughout the line. ",5-31.JPG
5,POWERTRAIN,5.3,WBS: 2500,"Existing motor and gearbox present at the entry looper section of ETL5. Minor-to-moderate surface corrosion is typical on gearboxes, drives, and other rotating equipment throughout the line. ",5-32.JPG
5,POWERTRAIN,5.3,WBS: 2600,"Existing motor and gearbox present along the exit section of ETL5. Minor-to-moderate surface corrosion is typical on gearboxes, drives, and other rotating equipment throughout the line. ",5-33.JPG
5,POWERTRAIN,5.4,WBS: 2100,"Throughout ETL5, guarding is typical at motors, shafts, gearboxes, and other pieces of rotating and energized equipment to prevent injury. Typical guarding at entry looper section is shown.",5-41.JPG
5,POWERTRAIN,5.4,WBS: 2100,"At isolated locations throughout ETL5, guarding has been removed likely to allow for ease of maintenance. Removed guarding shown is located present at the entry looper section.",5-42.JPG
5,POWERTRAIN,5.4,WBS: 2600,"Throughout ETL5, guarding is typical at motors, shafts, gearboxes, and other pieces of rotating and energized equipment to prevent injury. Guarding at exit section is shown.",5-43.JPG
5,POWERTRAIN,5.5,WBS: 2100,Maintenance and wear items are typical throughout ETL5. A missing bolt is shown at the entry section is typical of the maintenance items observed.,5-51.JPG
5,POWERTRAIN,5.5,WBS: 2100,Maintenance and wear items are typical throughout ETL5. A failed bearing at the entry section is another typical example. ,5-52.JPG
6,STRUCTURAL,6.1,WBS: 2100,"General photo for documentation purposes. This photo is representative of the typical condition of the main structural framing members for ETL5. Staining, minor surface corrosion, and coating system failures (peeling paint) are typical.",6-11.JPG
6,STRUCTURAL,6.1,WBS: 2500,"General photo for documentation purposes. This photo is representative of the typical condition of the main structural framing members for ETL5. Staining, minor surface corrosion, and coating system failures (peeling paint) are typical.",6-12.JPG
6,STRUCTURAL,6.2,WBS: 2000,"General photo for documentation purposes. Several service platforms and walking working surfaces are present, at different elevations, throughout ETL5 to allow for access and maintenance activites.",6-21.JPG
6,STRUCTURAL,6.2,WBS: 2000,General photo for documentation purposes. Service platforms and walking working surfaces are present on both the drive and drive sides of ETL5.,6-22.JPG
6,STRUCTURAL,6.3,WBS: 2200,"At isolated locations throughout ETL5, minor-to-moderate surface corrosion and section loss are present. The framing member pictured is located under the cleaning section (WBS: 2200) adjacent to centerline of the strip.",6-31.JPG
6,STRUCTURAL,6.3,WBS: 2400,"At isolated locations throughout ETL5, minor-to-moderate surface corrosion and section loss are present. The framing member pictured is located in the pickeling section (WBS: 2300) on the operator side of the line.",6-32.JPG
6,STRUCTURAL,6.3,WBS: 2500,"At isolated locations throughout ETL5, minor-to-moderate surface corrosion and section loss are present. The framing member pictured is located in the chemical treat section (WBS: 2500) on the drives side of the line.",6-33.JPG
6,STRUCTURAL,6.4,WBS: 2500,"At isolated locations throughout ETL5, minor-to-moderate surface corrosion and section loss are present on the underside (soffit) of elevated work platforms. The platform soffit pictured is located on the uppermost level of  the chemical treat section (WBS: 2500) on the operator side of the line.",6-41.JPG
6,STRUCTURAL,6.4,WBS: 2300,"At isolated locations throughout ETL5, minor-to-moderate surface corrosion and section loss are present on the underside (soffit) of elevated work platforms. The platform soffit pictured is located on the first elevated level of the pickeling section (WBS: 2300) on the operator side of the line.",6-42.JPG
6,STRUCTURAL,6.4,WBS: 2400,"At isolated locations throughout ETL5, minor-to-moderate surface corrosion and section loss are present on the underside (soffit) of elevated work platforms. The platform soffit pictured is located on the first elevated level of the future nickel plating section (WBS: 2400) on the operator side of the line.",6-43.JPG
6,STRUCTURAL,6.5,WBS: 2500,"At isolated locations throughout ETL5, failures in the coating system (peeling paint) are present. The area pictured is located in the chemical treat section (WBS: 2500) on the operator side of the line.",6-5.JPG
6,STRUCTURAL,6.6,WBS: 2000,"Hand rails, mid rails, and toe boards are typical at elevated plaforms and walking working surfaces throughout ETL5.",6-6.JPG
7,PIPING,7.1,WBS: 2200,Alkali tanks located in the basement. Tanks are non-functional and need replaced. ,7-11.JPG
7,PIPING,7.1,WBS: 2200,Alkali pumps located in the basement. Motors are non-functional and need replaced. Piping is corroded and needs replaced.,7-12.JPG
7,PIPING,7.1,WBS: 2300,Pickle tank located in the basement. Tanks are non-functional and need replaced. ,7-13.JPG
7,PIPING,7.1,WBS: 2300,Pickle pumps located in the basement. Motors are non-functional and need replaced. Piping is corroded and needs replaced.,7-14.JPG
7,PIPING,7.2,WBS: 2400,Plating solution pumps located in the basement. Motors are non-funtional and need replaced. Piping requires further investigation to determine functional status.,7-21.JPG
